state,district,year,month,bio_5_17,bio_17_plus
West Bengal,Hooghly,2026,1,1,0
West Bengal,Hooghly,2026,1,0,1
West Bengal,Hooghly,2026,1,1,3
West Bengal,Hooghly,2026,1,1,0
West Bengal,Hooghly,2026,1,0,2
West Bengal,Hooghly,2026,1,2,0
West Bengal,Hooghly,2026,1,0,4
West Bengal,Howrah,2026,1,1,0
West Bengal,Howrah,2026,1,0,1
West Bengal,Howrah,2026,1,1,0
West Bengal,Howrah,2026,1,0,1
West Bengal,Howrah,2026,1,2,2
West Bengal,Howrah,2026,1,1,1
West Bengal,Howrah,2026,1,1,3
West Bengal,Howrah,2026,1,2,1
West Bengal,Howrah,2026,1,1,1
West Bengal,Jalpaiguri,2026,1,2,1
West Bengal,Jalpaiguri,2026,1,1,0
West Bengal,Jalpaiguri,2026,1,1,3
West Bengal,Jalpaiguri,2026,1,0,1
West Bengal,Jalpaiguri,2026,1,0,1
West Bengal,Jalpaiguri,2026,1,2,4
West Bengal,Jalpaiguri,2026,1,0,1
West Bengal,Jalpaiguri,2026,1,0,2
West Bengal,Jalpaiguri,2026,1,0,1
West Bengal,Jalpaiguri,2026,1,0,1
West Bengal,Jhargram,2026,1,1,0
West Bengal,Koch Bihar,2026,1,0,1
West Bengal,Koch Bihar,2026,1,1,0
West Bengal,Koch Bihar,2026,1,1,0
West Bengal,Koch Bihar,2026,1,0,2
West Bengal,Koch Bihar,2026,1,0,1
West Bengal,Kolkata,2026,1,1,2
West Bengal,Kolkata,2026,1,1,0
West Bengal,Kolkata,2026,1,0,1
West Bengal,Kolkata,2026,1,1,1
West Bengal,Kolkata,2026,1,0,1
West Bengal,Kolkata,2026,1,4,2
West Bengal,Kolkata,2026,1,0,1
West Bengal,Kolkata,2026,1,1,1
West Bengal,Kolkata,2026,1,0,3
West Bengal,Kolkata,2026,1,1,0
West Bengal,Kolkata,2026,1,0,1
West Bengal,Malda,2026,1,1,0
West Bengal,Malda,2026,1,6,9
West Bengal,Malda,2026,1,1,1
West Bengal,Maldah,2026,1,3,1
West Bengal,Maldah,2026,1,2,1
West Bengal,Murshidabad,2026,1,2,1
West Bengal,Murshidabad,2026,1,0,1
West Bengal,Murshidabad,2026,1,3,2
West Bengal,Murshidabad,2026,1,1,4
West Bengal,Murshidabad,2026,1,0,3
West Bengal,Murshidabad,2026,1,6,4
West Bengal,Murshidabad,2026,1,0,1
West Bengal,Murshidabad,2026,1,2,2
West Bengal,Murshidabad,2026,1,1,0
West Bengal,Nadia,2026,1,5,4
West Bengal,Nadia,2026,1,0,3
West Bengal,Nadia,2026,1,1,2
West Bengal,Nadia,2026,1,0,1
West Bengal,Nadia,2026,1,2,0
West Bengal,Nadia,2026,1,0,2
West Bengal,Nadia,2026,1,0,1
West Bengal,Nadia,2026,1,0,1
West Bengal,Nadia,2026,1,1,0
West Bengal,Nadia,2026,1,1,0
West Bengal,Nadia,2026,1,0,1
West Bengal,Nadia,2026,1,0,1
West Bengal,Nadia,2026,1,1,0
West Bengal,Nadia,2026,1,1,0
West Bengal,North 24 Parganas,2026,1,0,2
West Bengal,North 24 Parganas,2026,1,1,0
West Bengal,North 24 Parganas,2026,1,0,3
West Bengal,North 24 Parganas,2026,1,2,0
West Bengal,North 24 Parganas,2026,1,1,0
West Bengal,North 24 Parganas,2026,1,2,2
West Bengal,North 24 Parganas,2026,1,2,0
West Bengal,North 24 Parganas,2026,1,1,0
West Bengal,North 24 Parganas,2026,1,1,2
West Bengal,North 24 Parganas,2026,1,0,2
West Bengal,North 24 Parganas,2026,1,0,1
West Bengal,North 24 Parganas,2026,1,0,5
West Bengal,North 24 Parganas,2026,1,2,3
West Bengal,North 24 Parganas,2026,1,4,1
West Bengal,North 24 Parganas,2026,1,1,3
West Bengal,North 24 Parganas,2026,1,2,2
West Bengal,North 24 Parganas,2026,1,1,2
West Bengal,North 24 Parganas,2026,1,2,2
West Bengal,North 24 Parganas,2026,1,10,1
West Bengal,North Dinajpur,2026,1,0,1
West Bengal,North Twenty Four Parganas,2026,1,0,1
West Bengal,North Twenty Four Parganas,2026,1,0,1
West Bengal,North Twenty Four Parganas,2026,1,0,1
West Bengal,North Twenty Four Parganas,2026,1,0,1
West Bengal,North Twenty Four Parganas,2026,1,0,1
West Bengal,Paschim Medinipur,2026,1,4,1
West Bengal,Paschim Medinipur,2026,1,1,0
West Bengal,Paschim Medinipur,2026,1,1,0
West Bengal,Paschim Medinipur,2026,1,1,2
West Bengal,Paschim Medinipur,2026,1,1,0
West Bengal,Paschim Medinipur,2026,1,0,1
West Bengal,Paschim Medinipur,2026,1,1,1
West Bengal,Paschim Medinipur,2026,1,0,1
West Bengal,Paschim Medinipur,2026,1,3,1
West Bengal,Paschim Medinipur,2026,1,0,1
West Bengal,Paschim Medinipur,2026,1,0,1
West Bengal,Paschim Medinipur,2026,1,0,1
West Bengal,Paschim Medinipur,2026,1,5,6
West Bengal,Paschim Medinipur,2026,1,0,1
West Bengal,Paschim Medinipur,2026,1,1,1
West Bengal,Purba Bardhaman,2026,1,0,1
West Bengal,Purba Bardhaman,2026,1,1,0
West Bengal,Purba Bardhaman,2026,1,1,0
West Bengal,Purba Medinipur,2026,1,0,1
West Bengal,Purba Medinipur,2026,1,1,0
West Bengal,Purba Medinipur,2026,1,2,0
West Bengal,Purba Medinipur,2026,1,2,3
West Bengal,Purba Medinipur,2026,1,0,1
West Bengal,Purba Medinipur,2026,1,1,1
West Bengal,Purba Medinipur,2026,1,1,0
West Bengal,Purba Medinipur,2026,1,0,1
West Bengal,Purulia,2026,1,0,1
West Bengal,Puruliya,2026,1,2,1
West Bengal,Puruliya,2026,1,0,6
West Bengal,Puruliya,2026,1,0,1
West Bengal,Puruliya,2026,1,5,0
West Bengal,South 24 Parganas,2026,1,0,1
West Bengal,South 24 Parganas,2026,1,1,2
West Bengal,South 24 Parganas,2026,1,4,8
West Bengal,South 24 Parganas,2026,1,1,1
West Bengal,South 24 Parganas,2026,1,1,0
West Bengal,South 24 Parganas,2026,1,2,0
West Bengal,South 24 Parganas,2026,1,0,1
West Bengal,South 24 Parganas,2026,1,1,0
West Bengal,South 24 Parganas,2026,1,0,1
West Bengal,South Dinajpur,2026,1,1,0
West Bengal,Uttar Dinajpur,2026,1,4,1
West Bengal,Uttar Dinajpur,2026,1,2,9
West Bengal,Uttar Dinajpur,2026,1,4,1
Andaman & Nicobar Islands,South Andaman,2025,12,0,2
Andaman And Nicobar Islands,Nicobar,2025,12,3,1
Andaman And Nicobar Islands,South Andaman,2025,12,7,0
Andaman And Nicobar Islands,South Andaman,2025,12,2,0
Andhra Pradesh,Anakapalli,2025,12,1,0
Andhra Pradesh,Anantapur,2025,12,0,1
Andhra Pradesh,Anantapur,2025,12,1,2
Andhra Pradesh,Ananthapuramu,2025,12,1,0
Andhra Pradesh,Ananthapuramu,2025,12,1,1
Andhra Pradesh,Ananthapuramu,2025,12,1,0
Andhra Pradesh,Annamayya,2025,12,1,0
Andhra Pradesh,East Godavari,2025,12,1,0
Andhra Pradesh,Eluru,2025,12,1,0
Andhra Pradesh,Eluru,2025,12,1,0
Andhra Pradesh,Guntur,2025,12,0,2
Andhra Pradesh,K.V.Rangareddy,2025,12,0,3
Andhra Pradesh,Karimnagar,2025,12,0,1
Andhra Pradesh,Karimnagar,2025,12,0,2
Andhra Pradesh,Mahabub Nagar,2025,12,0,1
Andhra Pradesh,Mahabub Nagar,2025,12,0,1
Andhra Pradesh,Mahabub Nagar,2025,12,0,1
Andhra Pradesh,Mahbubnagar,2025,12,0,1
Andhra Pradesh,Mahbubnagar,2025,12,0,1
Andhra Pradesh,Medak,2025,12,1,0
Andhra Pradesh,Medak,2025,12,0,2
Andhra Pradesh,Nalgonda,2025,12,1,5
Andhra Pradesh,Nalgonda,2025,12,0,2
Andhra Pradesh,Nalgonda,2025,12,1,1
Andhra Pradesh,Nizamabad,2025,12,2,1
Andhra Pradesh,Prakasam,2025,12,1,0
Andhra Pradesh,Rangareddi,2025,12,0,1
Andhra Pradesh,Warangal,2025,12,0,1
Andhra Pradesh,West Godavari,2025,12,1,0
Andhra Pradesh,Y. S. R,2025,12,0,1
Andhra Pradesh,Y. S. R,2025,12,1,0
Arunachal Pradesh,Lohit,2025,12,1,2
Assam,Barpeta,2025,12,1,0
Assam,Charaideo,2025,12,1,0
Bihar,Araria,2025,12,1,1
Bihar,Aurangabad(Bh),2025,12,0,1
Bihar,Pashchim Champaran,2025,12,0,1
Chhattisgarh,Bastar,2025,12,1,0
Chhattisgarh,Gariyaband,2025,12,0,1
Chhattisgarh,Rajnandgaon,2025,12,1,0
Delhi,North West Delhi,2025,12,0,1
Goa,North Goa,2025,12,0,1
Goa,North Goa,2025,12,1,1
Gujarat,Ahmadabad,2025,12,0,1
Andhra Pradesh,Krishna,2025,12,0,1
Andhra Pradesh,Mahbubnagar,2025,12,0,1
Andhra Pradesh,Y. S. R,2025,12,1,0
Arunachal Pradesh,Tawang,2025,12,1,0
Bihar,Purnea,2025,12,0,1
Gujarat,Junagadh,2025,12,0,3
Gujarat,Surendra Nagar,2025,12,0,1
Himachal Pradesh,Kangra,2025,12,1,0
Himachal Pradesh,Lahul And Spiti,2025,12,2,0
Himachal Pradesh,Mandi,2025,12,0,1
Jharkhand,Seraikela-Kharsawan,2025,12,0,1
Karnataka,Chikkamagaluru,2025,12,0,1
Karnataka,Vijayapura,2025,12,0,1
Odisha,Khordha,2025,12,0,1
Orissa,Anugul,2025,12,0,1
Orissa,Baleshwar,2025,12,0,1
Orissa,Puri,2025,12,1,0
Punjab,Gurdaspur,2025,12,1,0
Punjab,Muktsar,2025,12,0,1
Punjab,Rupnagar,2025,12,1,0
Rajasthan,Chittaurgarh,2025,12,1,0
Rajasthan,Dhaulpur,2025,12,1,0
Rajasthan,Jaisalmer,2025,12,0,1
Rajasthan,Jalore,2025,12,1,0
Tamil Nadu,Chengalpattu,2025,12,1,0
Tamil Nadu,Ramanathapuram,2025,12,0,1
Maharashtra,Mumbai City,2025,12,0,1
Odisha,Baleshwar,2025,12,0,1
Karnataka,Belagavi,2025,12,1,1
Karnataka,Belagavi,2025,12,1,0
Karnataka,Belagavi,2025,12,0,1
Karnataka,Belagavi,2025,12,2,1
Karnataka,Belagavi,2025,12,1,0
Karnataka,Belagavi,2025,12,1,0
Karnataka,Belagavi,2025,12,1,0
Karnataka,Belgaum,2025,12,0,2
Karnataka,Belgaum,2025,12,2,1
Karnataka,Bellary,2025,12,0,1
Karnataka,Bellary,2025,12,1,0
Karnataka,Bellary,2025,12,0,1
Karnataka,Bellary,2025,12,2,1
Karnataka,Bijapur,2025,12,1,0
Karnataka,Chickmagalur,2025,12,2,0
Karnataka,Chikkaballapur,2025,12,1,2
Karnataka,Chikkamagaluru,2025,12,0,2
Karnataka,Dakshina Kannada,2025,12,0,1
Karnataka,Dakshina Kannada,2025,12,1,0
Karnataka,Gadag,2025,12,1,1
Karnataka,Gulbarga,2025,12,1,3
Karnataka,Hasan,2025,12,0,1
Karnataka,Hasan,2025,12,0,1
Karnataka,Hassan,2025,12,2,0
Karnataka,Haveri,2025,12,1,0
Karnataka,Kalaburagi,2025,12,0,1
Karnataka,Kolar,2025,12,1,0
Karnataka,Mysore,2025,12,0,1
Karnataka,Mysuru,2025,12,0,1
Karnataka,Mysuru,2025,12,1,1
Karnataka,Mysuru,2025,12,0,1
Karnataka,Shimoga,2025,12,1,2
Karnataka,Shimoga,2025,12,1,0
Karnataka,Shivamogga,2025,12,1,0
Karnataka,Shivamogga,2025,12,0,2
Karnataka,Shivamogga,2025,12,0,1
Karnataka,Shivamogga,2025,12,3,1
Karnataka,Tumakuru,2025,12,1,0
Karnataka,Tumakuru,2025,12,2,0
Karnataka,Tumakuru,2025,12,1,0
Karnataka,Tumkur,2025,12,2,2
Karnataka,Tumkur,2025,12,0,1
Karnataka,Udupi,2025,12,0,1
Karnataka,Uttara Kannada,2025,12,1,0
Karnataka,Vijayanagara,2025,12,0,2
Karnataka,Vijayapura,2025,12,1,0
Karnataka,Vijayapura,2025,12,3,0
Kerala,Alappuzha,2025,12,1,0
Kerala,Alappuzha,2025,12,1,1
Kerala,Alappuzha,2025,12,1,1
Kerala,Alappuzha,2025,12,0,1
Kerala,Alappuzha,2025,12,0,1
Kerala,Alappuzha,2025,12,0,1
Kerala,Alappuzha,2025,12,0,1
Kerala,Alappuzha,2025,12,0,1
Kerala,Alappuzha,2025,12,0,1
Kerala,Alappuzha,2025,12,1,1
Kerala,Alappuzha,2025,12,0,1
Kerala,Alappuzha,2025,12,1,0
Kerala,Ernakulam,2025,12,0,1
Kerala,Ernakulam,2025,12,2,1
Kerala,Ernakulam,2025,12,2,0
Kerala,Ernakulam,2025,12,2,0
Kerala,Ernakulam,2025,12,0,2
Kerala,Ernakulam,2025,12,0,1
Kerala,Ernakulam,2025,12,0,1
Kerala,Ernakulam,2025,12,0,1
Kerala,Ernakulam,2025,12,4,0
Kerala,Ernakulam,2025,12,1,2
Kerala,Ernakulam,2025,12,0,2
Kerala,Ernakulam,2025,12,1,0
Kerala,Ernakulam,2025,12,2,2
Kerala,Idukki,2025,12,1,2
Kerala,Idukki,2025,12,0,2
Kerala,Kannur,2025,12,0,2
Kerala,Kannur,2025,12,1,1
Kerala,Kannur,2025,12,2,2
Kerala,Kannur,2025,12,0,1
Kerala,Kannur,2025,12,1,3
Kerala,Kannur,2025,12,2,0
Kerala,Kannur,2025,12,4,4
Kerala,Kannur,2025,12,2,0
Kerala,Kannur,2025,12,1,0
Kerala,Kannur,2025,12,1,3
Kerala,Kasaragod,2025,12,0,4
Kerala,Kasaragod,2025,12,1,0
Kerala,Kasargod,2025,12,0,1
Kerala,Kasargod,2025,12,0,1
Kerala,Kollam,2025,12,3,2
Kerala,Kollam,2025,12,0,1
Kerala,Kollam,2025,12,0,1
Kerala,Kollam,2025,12,4,6
Kerala,Kollam,2025,12,1,0
Kerala,Kollam,2025,12,1,0
Kerala,Kollam,2025,12,1,0
Kerala,Kottayam,2025,12,0,1
Kerala,Kottayam,2025,12,1,1
Kerala,Kottayam,2025,12,0,1
Kerala,Kottayam,2025,12,1,0
Kerala,Kottayam,2025,12,0,2
Kerala,Kottayam,2025,12,1,0
Kerala,Kottayam,2025,12,1,1
Kerala,Kottayam,2025,12,1,1
Kerala,Kottayam,2025,12,2,1
Kerala,Kottayam,2025,12,1,2
Kerala,Kottayam,2025,12,0,1
Kerala,Kottayam,2025,12,0,1
Kerala,Kottayam,2025,12,1,0
Kerala,Kottayam,2025,12,1,1
Kerala,Kottayam,2025,12,1,0
Kerala,Kottayam,2025,12,0,2
Kerala,Kottayam,2025,12,1,0
Kerala,Kottayam,2025,12,1,0
Kerala,Kozhikode,2025,12,3,2
Kerala,Kozhikode,2025,12,3,0
Kerala,Kozhikode,2025,12,1,2
Kerala,Kozhikode,2025,12,2,1
Kerala,Kozhikode,2025,12,1,1
Kerala,Kozhikode,2025,12,1,1
Kerala,Kozhikode,2025,12,2,1
Kerala,Kozhikode,2025,12,1,1
Kerala,Kozhikode,2025,12,3,12
Kerala,Malappuram,2025,12,0,1
Kerala,Malappuram,2025,12,0,1
Kerala,Malappuram,2025,12,1,1
Kerala,Malappuram,2025,12,4,9
Kerala,Malappuram,2025,12,0,1
Kerala,Malappuram,2025,12,0,2
Kerala,Malappuram,2025,12,0,1
Kerala,Malappuram,2025,12,1,2
Kerala,Malappuram,2025,12,3,0
Kerala,Malappuram,2025,12,2,0
Kerala,Malappuram,2025,12,1,0
Kerala,Malappuram,2025,12,0,1
Kerala,Palakkad,2025,12,0,1
Kerala,Palakkad,2025,12,1,1
Kerala,Palakkad,2025,12,2,2
Kerala,Palakkad,2025,12,1,1
Kerala,Palakkad,2025,12,1,1
Kerala,Palakkad,2025,12,1,1
Kerala,Palakkad,2025,12,1,1
Kerala,Palakkad,2025,12,1,1
Kerala,Palakkad,2025,12,0,1
Kerala,Palakkad,2025,12,0,1
Kerala,Palakkad,2025,12,4,1
Kerala,Pathanamthitta,2025,12,0,1
Kerala,Pathanamthitta,2025,12,1,0
Kerala,Pathanamthitta,2025,12,0,1
Kerala,Pathanamthitta,2025,12,0,1
Kerala,Pathanamthitta,2025,12,1,0
Kerala,Pathanamthitta,2025,12,1,2
Kerala,Pathanamthitta,2025,12,1,0
Kerala,Pathanamthitta,2025,12,0,2
Kerala,Thiruvananthapuram,2025,12,0,2
Kerala,Thiruvananthapuram,2025,12,1,1
Kerala,Thiruvananthapuram,2025,12,1,0
Kerala,Thiruvananthapuram,2025,12,1,0
Kerala,Thiruvananthapuram,2025,12,4,1
Kerala,Thiruvananthapuram,2025,12,2,0
Kerala,Thiruvananthapuram,2025,12,0,1
Kerala,Thiruvananthapuram,2025,12,0,1
Kerala,Thiruvananthapuram,2025,12,0,2
Kerala,Thiruvananthapuram,2025,12,1,0
Madhya Pradesh,Dewas,2025,4,54,48
Maharashtra,Pune,2025,4,15,15
Tamil Nadu,Tirunelveli,2025,4,17,115
Assam,Karimganj,2025,4,57,20
Assam,Dibrugarh,2025,4,185,176
Assam,Hailakandi,2025,4,22,12
Assam,Golaghat,2025,4,19,17
Telangana,Hyderabad,2025,4,132,132
Andhra Pradesh,Nellore,2025,4,232,53
Tamil Nadu,Viluppuram,2025,4,14,104
Andhra Pradesh,Ananthapur,2025,4,134,18
Telangana,Warangal,2025,4,40,21
Bihar,Banka,2025,4,111,124
Andhra Pradesh,East Godavari,2025,4,500,156
Andhra Pradesh,Cuddapah,2025,4,90,15
Karnataka,Bengaluru,2025,4,183,178
Andhra Pradesh,Krishna,2025,4,325,126
Karnataka,Tumkur,2025,4,134,236
West Bengal,Dakshin Dinajpur,2025,4,47,58
Tamil Nadu,Viluppuram,2025,4,12,35
Uttar Pradesh,Gorakhpur,2025,4,250,327
Andhra Pradesh,Krishna,2025,4,441,77
Uttar Pradesh,Sitapur,2025,4,1159,339
Chhattisgarh,Bastar,2025,4,89,569
Uttar Pradesh,Allahabad,2025,4,243,105
Odisha,Bhadrak,2025,4,171,220
Karnataka,Mysore,2025,4,20,24
Karnataka,Mysuru,2025,4,11,12
Odisha,Nayagarh,2025,4,52,76
Karnataka,Raichur,2025,4,99,195
Andhra Pradesh,East Godavari,2025,4,146,63
Kerala,Idukki,2025,4,14,21
Gujarat,Rajkot,2025,4,391,423
Tamil Nadu,Tiruvallur,2025,4,182,342
Tamil Nadu,Theni,2025,4,44,62
Kerala,Ernakulam,2025,4,55,74
Tamil Nadu,Tiruvallur,2025,4,141,145
Andhra Pradesh,Adilabad,2025,4,11,42
Kerala,Kottayam,2025,4,23,23
Odisha,Jajapur,2025,4,76,96
Jharkhand,Dumka,2025,4,138,76
Andaman And Nicobar Islands,North And Middle Andaman,2025,4,109,77
Tamil Nadu,Villupuram,2025,4,61,17
Maharashtra,Mumbai Suburban,2025,4,891,652
Madhya Pradesh,Rajgarh,2025,4,480,459
Madhya Pradesh,Rajgarh,2025,4,1358,1125
Uttar Pradesh,Allahabad,2025,4,1398,295
Himachal Pradesh,Mandi,2025,4,30,85
Madhya Pradesh,Burhanpur,2025,4,541,567
Maharashtra,Amravati,2025,4,58,216
Andhra Pradesh,Hyderabad,2025,4,34,188
Odisha,Bargarh,2025,4,257,398
Uttar Pradesh,Gonda,2025,4,525,293
Gujarat,Surat,2025,4,461,721
Maharashtra,Satara,2025,4,56,83
Karnataka,Belagavi,2025,4,92,33
Punjab,Jalandhar,2025,4,352,743
Uttar Pradesh,Ghazipur,2025,4,317,286
Madhya Pradesh,Gwalior,2025,4,413,337
Kerala,Thrissur,2025,4,17,17
Tamil Nadu,Vellore,2025,4,134,62
Tripura,Dhalai,2025,4,373,156
Maharashtra,Amravati,2025,4,86,236
Uttar Pradesh,Kheri,2025,4,435,290
Maharashtra,Nashik,2025,4,257,356
Rajasthan,Alwar,2025,4,199,337
Kerala,Kozhikode,2025,4,49,55
Ladakh,Leh,2025,4,17,40
Himachal Pradesh,Mandi,2025,4,17,15
Maharashtra,Palghar,2025,4,295,390
Telangana,Karimnagar,2025,4,84,50
Chhattisgarh,Janjgir-Champa,2025,4,34,203
Maharashtra,Beed,2025,4,69,188
Telangana,Nizamabad,2025,4,51,44
Himachal Pradesh,Una,2025,4,23,22
Orissa,Khordha,2025,4,27,177
Telangana,Karimnagar,2025,4,46,72
Gujarat,Arvalli,2025,4,25,24
Assam,Tinsukia,2025,4,55,75
Meghalaya,East Khasi Hills,2025,4,71,90
Tamil Nadu,Kancheepuram,2025,4,32,52
Himachal Pradesh,Hamirpur,2025,4,13,18
Chhattisgarh,Jashpur,2025,4,11,98
Assam,Kamrup Metro,2025,4,86,46
Gujarat,Gandhinagar,2025,4,10,16
Uttar Pradesh,Amroha,2025,4,2269,699
Maharashtra,Latur,2025,4,272,1509
Maharashtra,Bhandara,2025,4,191,879
Karnataka,Bengaluru,2025,4,137,124
Uttar Pradesh,Agra,2025,4,409,193
Maharashtra,Aurangabad,2025,4,541,955
Kerala,Malappuram,2025,4,166,226
Andhra Pradesh,Anantapur,2025,4,55,81
Maharashtra,Yavatmal,2025,4,111,398
Gujarat,Mahesana,2025,4,151,150
Madhya Pradesh,Khandwa,2025,4,218,83
Andhra Pradesh,Srikakulam,2025,4,281,161
Gujarat,Ahmedabad,2025,4,469,447
Tamil Nadu,The Nilgiris,2025,4,26,42
Punjab,Mansa,2025,4,71,142
Gujarat,Ahmedabad,2025,4,626,1004
Rajasthan,Banswara,2025,4,133,262
West Bengal,Hooghly,2025,4,101,96
Gujarat,Banaskantha,2025,4,261,327
Bihar,Buxar,2025,4,154,111
Karnataka,Belagavi,2025,4,34,23
Kerala,Malappuram,2025,4,148,208
West Bengal,Barddhaman,2025,4,10,25
Himachal Pradesh,Solan,2025,4,24,55
Tamil Nadu,Ramanathapuram,2025,4,417,368
Maharashtra,Chandrapur,2025,4,135,398
Andhra Pradesh,Krishna,2025,4,152,51
Andhra Pradesh,Karimnagar,2025,4,14,32
Karnataka,Ballari,2025,4,170,65
Andhra Pradesh,Cuddapah,2025,4,117,43
West Bengal,South 24 Parganas,2025,4,224,77
Uttar Pradesh,Deoria,2025,4,282,199
Madhya Pradesh,Agar Malwa,2025,4,111,171
Karnataka,Bangalore,2025,4,17,60
Gujarat,Devbhumi Dwarka,2025,4,122,40
West Bengal,South 24 Parganas,2025,4,81,160
Telangana,Nizamabad,2025,4,38,26
Kerala,Alappuzha,2025,4,14,32
Uttarakhand,Pithoragarh,2025,4,19,31
Haryana,Bhiwani,2025,4,83,217
Assam,Lakhimpur,2025,4,100,51
Tamil Nadu,Nagapattinam,2025,4,18,33
Tamil Nadu,Kallakurichi,2025,4,11,19
Tripura,South Tripura,2025,4,19,39
Chhattisgarh,Uttar Bastar Kanker,2025,4,12,168
Telangana,Nagarkurnool,2025,4,23,25
West Bengal,Purba Bardhaman,2025,4,20,45
Assam,Karimganj,2025,4,28,18
Assam,Cachar,2025,4,218,46
West Bengal,North 24 Parganas,2025,4,263,310
Karnataka,Uttara Kannada,2025,4,23,11
Haryana,Gurgaon,2025,4,10,19
Telangana,Medchal-Malkajgiri,2025,4,37,131
Karnataka,Koppal,2025,4,251,186
Uttar Pradesh,Kanpur Nagar,2025,4,91,87
Uttar Pradesh,Sambhal,2025,4,845,197
Karnataka,Bangalore,2025,4,61,212
Andhra Pradesh,Khammam,2025,4,34,93
Andhra Pradesh,Srikakulam,2025,4,507,84
Bihar,Samastipur,2025,4,610,331
Rajasthan,Hanumangarh,2025,4,258,480
Delhi,North East Delhi,2025,4,2010,946
Karnataka,Bagalkot,2025,4,162,136
Karnataka,Belgaum,2025,4,23,55
Delhi,South West Delhi,2025,4,411,516
Rajasthan,Bharatpur,2025,4,47,88
Delhi,South West Delhi,2025,4,577,431
Odisha,Sundergarh,2025,4,64,89
Rajasthan,Ganganagar,2025,4,68,214
Gujarat,Valsad,2025,4,69,100
Karnataka,Belgaum,2025,4,58,129
Karnataka,Belagavi,2025,4,77,56
Rajasthan,Udaipur,2025,4,308,582
Tamil Nadu,Coimbatore,2025,4,68,126
Andhra Pradesh,Ananthapur,2025,4,293,67
Madhya Pradesh,Mandla,2025,4,346,218
Andhra Pradesh,Srikakulam,2025,4,129,20
Haryana,Karnal,2025,4,166,322
Kerala,Thiruvananthapuram,2025,4,26,32
Andhra Pradesh,Cuddapah,2025,4,80,19
Chhattisgarh,Janjgir-Champa,2025,4,118,610
Maharashtra,Solapur,2025,4,64,125
Maharashtra,Thane,2025,4,12,23
Gujarat,Banaskantha,2025,4,376,583
Gujarat,Banaskantha,2025,4,254,360
Maharashtra,Chandrapur,2025,4,118,301
Kerala,Thrissur,2025,4,41,43
Chhattisgarh,Gaurela-Pendra-Marwahi,2025,4,17,104
Uttar Pradesh,Bijnor,2025,4,147,41
Jharkhand,East Singhbhum,2025,4,421,391
Gujarat,Botad,2025,4,48,73
Karnataka,Belgaum,2025,4,60,103
West Bengal,Howrah,2025,4,90,153
Karnataka,Belagavi,2025,4,21,25
Odisha,Sundergarh,2025,4,136,186
Karnataka,Bengaluru,2025,4,37,35
Andhra Pradesh,East Godavari,2025,4,332,156
Tamil Nadu,Ramanathapuram,2025,4,35,40
Odisha,Kendujhar,2025,4,72,86
Odisha,Sundergarh,2025,4,92,119
Karnataka,Bengaluru,2025,4,33,51
West Bengal,North 24 Parganas,2025,4,39,119
Karnataka,Chickmagalur,2025,4,18,46
Himachal Pradesh,Kangra,2025,4,19,37
Odisha,Khorda,2025,4,27,59
Assam,Kamrup Metro,2025,4,42,31
Odisha,Rayagada,2025,4,26,10
West Bengal,Cooch Behar,2025,4,44,71
Tamil Nadu,Pudukkottai,2025,4,35,35
Punjab,Shaheed Bhagat Singh Nagar,2025,4,10,21
Uttar Pradesh,Bhadohi,2025,4,20,11
Himachal Pradesh,Kinnaur,2025,4,16,19
West Bengal,Hooghly,2025,4,98,120
Himachal Pradesh,Solan,2025,4,26,124
Uttarakhand,Haridwar,2025,4,106,136
Karnataka,Shivamogga,2025,4,31,15
Andhra Pradesh,Alluri Sitharama Raju,2025,4,76,21
Assam,Tinsukia,2025,4,91,23
Meghalaya,North Garo Hills,2025,4,66,15
Assam,Cachar,2025,4,23,21
Gujarat,Kachchh,2025,4,102,67
Karnataka,Bidar,2025,4,141,209
Andhra Pradesh,Kurnool,2025,4,995,130
Madhya Pradesh,Khandwa,2025,4,527,249
Punjab,Hoshiarpur,2025,4,210,554
Uttarakhand,Haridwar,2025,4,253,264
West Bengal,Paschim Medinipur,2025,4,66,81
Karnataka,Yadgir,2025,4,237,218
Uttar Pradesh,Deoria,2025,4,875,578
Uttar Pradesh,Aligarh,2025,4,355,53
Rajasthan,Ajmer,2025,4,334,319
Bihar,Katihar,2025,4,1754,1189
Orissa,Puri,2025,4,25,90
Andhra Pradesh,Kakinada,2025,4,27,16
Karnataka,Yadgir,2025,4,108,121
Kerala,Malappuram,2025,4,54,177
West Bengal,Paschim Medinipur,2025,4,26,29
Gujarat,Arvalli,2025,4,25,30
Karnataka,Yadgir,2025,4,76,124
Jammu And Kashmir,Srinagar,2025,4,147,520
Punjab,Ludhiana,2025,4,234,322
Kerala,Alappuzha,2025,4,20,46
Tamil Nadu,Tiruchirappalli,2025,4,55,116
Maharashtra,Raigad,2025,4,10,36
Telangana,K.V. Rangareddy,2025,4,63,191
Karnataka,Dakshina Kannada,2025,4,65,30
Andhra Pradesh,West Godavari,2025,4,186,48
Maharashtra,Solapur,2025,4,58,92
Rajasthan,Bikaner,2025,4,43,76
Telangana,Hyderabad,2025,4,24,14
Bihar,Bhojpur,2025,4,234,146
Haryana,Panchkula,2025,4,89,71
Gujarat,Anand,2025,4,99,124
Tamil Nadu,Kancheepuram,2025,4,146,57
Gujarat,Kachchh,2025,4,121,80
